names,scores,logfoldchanges,pvals,pvals_adj
HIST1H3C,16.773827,2.094012,3.792727451170919e-63,2.6593826892235885e-60
BIRC5,16.74255,1.0254618,6.417818810568377e-63,4.387541829845071e-60
FANCI,16.723204,1.0398529,8.881272390569078e-63,5.923592068109805e-60
SMC1A,16.594412,0.80944055,7.648871496065181e-62,4.980143807890439e-59
SPC25,16.584745,1.6182451,8.984643717312418e-62,5.713815513805242e-59
ESCO2,16.56196,1.7731501,1.3124900804148954e-61,8.157125849778575e-59
SKA3,16.513577,1.2591692,2.929899633592895e-61,1.780467452894029e-58
LIG1,16.409418,0.915439,1.6376574745537378e-60,9.735517673727503e-58
KIF11,16.395382,1.1023945,2.0633831056269755e-60,1.2005377533292611e-57
H2AFZ,16.27096,0.3933223,1.5865288199087132e-59,9.038586897754931e-57
DUT,16.070898,0.6217671,4.081271163768673e-58,2.27768247437588e-55
CDCA4,15.898541,1.247167,6.485765809377892e-57,3.547195036464957e-54
SMC3,15.820069,0.8426887,2.2624303779076433e-56,1.2131062963580865e-53
UBE2C,15.632835,0.782268,4.350077718404861e-55,2.2876389478365254e-52
FEN1,15.512187,0.8816851,2.8693518632808315e-54,1.480477284024106e-51
TMPO,15.269973,0.7279199,1.2122378088123277e-52,6.138862059218873e-50
CARHSP1,15.250504,0.8248938,1.6336912385846229e-52,8.122712838242745e-50
HIST1H2AH,15.078168,1.7414048,2.2543737457599226e-51,1.1008590080634079e-48
DHFR,15.063213,0.8107449,2.8270614683434765e-51,1.3562951388301879e-48
HIST1H2AI,14.87459,2.3721778,4.819283300581527e-50,2.2722089851328007e-47
EZH2,14.809157,0.9381689,1.2783196753734486e-49,5.924903363180055e-47
E2F8,14.80424,1.8856874,1.3753272518408384e-49,6.268283171473261e-47
DNMT1,14.7925005,0.67753106,1.6375641768207946e-49,7.3411196687445e-47
CLSPN,14.758098,0.8348294,2.7286798711209963e-49,1.2035238670270124e-46
NSD2,14.655844,0.79470444,1.2361092457911455e-48,5.3654989580007404e-46
ZWINT,14.643197,0.83383125,1.4889949230074444e-48,6.362196119462746e-46
CDCA3,14.6196165,1.0555536,2.1058453960332783e-48,8.85945356921939e-46
CCNA2,14.600146,0.897868,2.8024223069458093e-48,1.1611369758445471e-45
NCAPD2,14.534949,0.88012177,7.276708031559982e-48,2.9699829527020783e-45
CENPU,14.406426,0.760511,4.714822204898545e-47,1.896051882575818e-44
C21orf58,14.386856,0.9715232,6.257647351664055e-47,2.480023543168192e-44
RAD51AP1,14.381267,0.9535178,6.784189895082446e-47,2.650292241013208e-44
UBE2T,14.349216,0.913385,1.0774742990651696e-46,4.149945377779736e-44
ANLN,14.295794,1.0902977,2.3244225294299902e-46,8.828285901360071e-44
ATAD5,14.181732,0.85516363,1.1887580108808608e-45,4.453120077472331e-43
SLC20A1,14.035834,0.9880562,9.408276317223384e-45,3.476739515821495e-42
CENPN,14.017305,0.95920724,1.2216515442391459e-44,4.454304417168491e-42
SMC4,14.008949,0.7338876,1.3742386895267038e-44,4.9447277899733216e-42
HIST2H2AC,13.926042,1.6806307,4.4008129492814056e-44,1.562917284559082e-41
TMEM106C,13.812663,0.8030709,2.13778942344648e-43,7.494870458149673e-41
CDC45,13.600067,0.88444936,4.0006417124475044e-42,1.3848297249188538e-39
RBBP4,13.565688,0.60546815,6.397668696683834e-42,2.1868831022439516e-39
NCAPG,13.323765,0.93404716,1.6839755542803578e-40,5.685184630537119e-38
TACC3,13.264896,0.737459,3.699300003690509e-40,1.2336714378161057e-37
NCAPG2,13.25039,1.0920117,4.488653991524242e-40,1.4788762897858062e-37
RAD51,13.237149,0.9306348,5.354315170408958e-40,1.7225776782353337e-37
SPC24,13.084462,1.3321365,4.0400827454536614e-39,1.2846523576415795e-36
SUZ12,12.998519,0.6522504,1.247356208553388e-38,3.8761594180796537e-36
KIF15,12.919476,1.0130173,3.495136374164551e-38,1.0739101043584698e-35
UHRF1,12.909808,0.69507104,3.962855567869925e-38,1.2040916484330106e-35
ITM2A,12.907187,0.88548577,4.1000652895574913e-38,1.2320921473432873e-35
WDR34,12.891045,0.72411054,5.055428360031243e-38,1.5026711297110258e-35
TPX2,12.824325,0.6972698,1.1982673208192096e-37,3.523421307002377e-35
NCAPH,12.820011,0.8499596,1.266819207342944e-37,3.685365749361718e-35
BRCA2,12.805314,0.8183248,1.5310512700117856e-37,4.4071713715518197e-35
DIAPH3,12.785318,0.97062075,1.9805086857533945e-37,5.641561512563784e-35
ANP32B,12.74834,0.41635627,3.184561649133315e-37,8.977837407958725e-35
TUBB4B,12.745404,0.643157,3.306710933080037e-37,9.227073181225172e-35
MCM7,12.638692,0.57490164,1.2918496123714374e-36,3.568375707061548e-34
H2AFV,12.629327,0.44730955,1.4551741162897135e-36,3.979319138405851e-34
NASP,12.531654,0.53535455,5.010616792557496e-36,1.330294435041527e-33
MXD3,12.528171,0.9582971,5.235626510409683e-36,1.376667716862146e-33
DNAJC9,12.466457,0.64728963,1.1377197830844777e-35,2.9351023762479365e-33
ZNF367,12.399894,1.1625293,2.616690255392666e-35,6.687477731211948e-33
