names,scores,logfoldchanges,pvals,pvals_adj
B4GALT6,3.7177079,0.39906168,0.00020103848463422946,0.0015220372095259243
FAM168B,3.717386,0.19937032,0.00020129475110595098,0.0015234992197287486
NBPF14,3.7172816,0.17855562,0.00020137793044100038,0.0015234992197287486
UBAC2,3.716629,0.17496717,0.00020189853331153295,0.0015268559250587184
BANP,3.7165594,0.34678093,0.00020195413884799914,0.0015268559250587184
NUP37,3.7163246,0.2034724,0.00020214191376873112,0.0015278531713432064
BRPF1,3.7152805,0.26364794,0.00020297845510450617,0.0015337520954097335
KMT2E,3.7137403,0.16535166,0.0002042182916587216,0.0015426943104141994
SUPT6H,3.7123134,0.15222007,0.00020537341299737362,0.0015509918121585694
SCYL1,3.7115912,0.19088453,0.00020596035340338372,0.0015549949818246635
RHOA,3.7103994,0.2167583,0.00020693260662905176,0.0015619042398228125
POLR2B,3.7100773,0.15211815,0.00020719592435781698,0.001563297509810892
CMIP,3.710034,0.22404325,0.0002072315319631567,0.001563297509810892
BTAF1,3.709651,0.16145745,0.00020754512682187698,0.0015652313949451318
LRRK1,3.7094944,0.28092912,0.00020767354404926068,0.0015657680550237338
DCTN5,3.7091637,0.23676513,0.00020794489220476493,0.0015673817591597304
WDTC1,3.7086155,0.26592612,0.00020839549269514022,0.0015703453136515029
PUF60,3.708398,0.1916578,0.000208574556447104,0.0015712616585681833
S100Z,3.7074585,0.31363037,0.00020934977370952516,0.0015762331805783797
ZCRB1,3.705988,0.14961904,0.00021056827757143427,0.0015849711308748807
KDM5A,3.7057269,0.1460999,0.00021078527494255848,0.0015861678944907001
SMIM10L1,3.704996,0.12613502,0.0002113939853794815,0.0015898734664981577
PISD,3.7045698,0.22980739,0.00021174982842771093,0.001592111852676432
INTS8,3.7026296,0.21603431,0.00021337639443292546,0.0016036250206707253
DAXX,3.7026033,0.14693083,0.0002133983562576161,0.0016036250206707253
SUPV3L1,3.7016723,0.2877725,0.00021418305074749866,0.0016090795894893126
RHOT1,3.701542,0.2710273,0.00021429327094230603,0.0016091891208757847
SAMM50,3.7015157,0.15605024,0.00021431532137166704,0.0016091891208757847
TIMM21,3.7009676,0.33135664,0.00021477887284587663,0.0016122270263089055
AL365295.1,3.7008283,1.2387205,0.000214896750029941,0.0016126691894398372
AP2B1,3.7002716,0.14520794,0.00021536886651856655,0.0016157687308139153
RNF8,3.699819,0.2864195,0.00021575317811480367,0.0016179861672288732
MINDY2,3.6997843,0.30433774,0.00021578276720118849,0.0016179861672288732
SNX8,3.6994276,0.5861313,0.00021608627510278074,0.0016198177848028076
DNAJC15,3.6990013,0.14962463,0.00021644952984440784,0.0016220961477460061
DDX1,3.698775,0.1904361,0.00021664251001711376,0.0016230975558706828
AL135905.2,3.6968174,0.35395682,0.00021831929194049104,0.0016352120946054964
BEND5,3.696243,0.39400196,0.00021881345457475354,0.001638464602629028
FH,3.6948857,0.15613315,0.00021998565309494476,0.00164679104011343
THYN1,3.6939461,0.14415129,0.00022080062591808708,0.0016524394954449944
PIAS4,3.69238,0.36616728,0.00022216521580887226,0.0016620271826473308
AL138724.1,3.6923103,0.38439378,0.00022222604761783823,0.0016620271826473308
CMTM3,3.692267,0.15418074,0.0002222640754385025,0.0016620271826473308
ALDH9A1,3.6920667,0.16628505,0.0002224390821093451,0.0016628811206566842
CTSA,3.6911445,0.20247479,0.00022324730775729058,0.0016684670341434457
SIMC1,3.6904397,0.5079996,0.00022386677141721708,0.001672639544036945
UXT,3.6900134,0.22404826,0.00022424229158882314,0.0016749876279125804
